texto,sensivel
"                     PORTARIA / SINFRA/Nº/  609/2.010                         O SECRETÁRIO DE ESTADO DE INFRAESTRUTURA, no uso de suas atribuições legais,  RESOLVE:                    DESIGNAR , o servidor Engenheiro HILTON JUSTI DE CARVALHO, para Supervisionar e Fiscalizar a  Elaboração de Plano de Controle Ambiental – PCA e Plano de Recuperação de Áreas Degradadas – PRADE , para as obras de Pavimentação da Rodovia MT – 448 , Trecho: Entrº MT – 130 (Carazinho) / Rio Suspiro/Santo Antônio do Les",1
    PORTARIA CONJUNTA NÂº 251/2013/AGE-COR/SES O SECRETÃ,1
"    PORTARIA Nº. 174/2009/GP/DETRAN/MT  “Nomeia Comissão Especial para cumprimento de diligências pertinentes à Concorrência Pública 002/2009/DETRAN-MT.”  O Presidente do Departamento Estadual de Trânsito – DETRAN/MT – no uso de suas atribuições legais e para fins determinados no art. 43, IV, §3º, da Lei nº. 8.666/93 e suas alterações  RESOLVE:  Art. 1º. Nomear Comissão Especial para cumprimento de diligências pertinentes à Concorrência Pública 002/2009/DETRAN-MT, com eficácia até a homologação ",1
"      PORTARIA Nº 006/2013/GAB/SAAP/SEJUDH, DE 18 DE JUNHO  DE 2013. Institui o Conselho Disciplinar da Penitenciária  “Feminina Ana Maria do Couto May”.  O Secretário Adjunto de Administração Penitenciária, no uso de suas atribuições legais, e,CONSIDERANDO o disposto no Art. 59 da Lei de Execução Penal e do § 1º do Art. 69 do Regimento Interno Padrão dos Estabelecimentos Penais do Estado de Mato Grosso; RESOLVE: Art. 1º –  Instituir o Conselho Disciplinar da Penitenciária  “Feminina Ana Maria d",1
"    PORTARIA NÂº 207/QCG/DGP, DE 09 DE JULHO DE 2013   ReversÃ£o de Policial Militar ao ServiÃ§o ativo.  O COMANDANTE GERAL DA POLÃ",1
"    DECRETO Nº         751,            DE   03   DE             OUTUBRO          DE 2011.  Dispõe sobre a alteração da estrutura organizacional da CASA CIVIL do Estado de Mato Grosso, a redistribuição de cargos em comissão e funções de confiança.  O GOVERNADOR DO ESTADO DE MATO GROSSO, no uso das atribuições que lhe confere o art. 66 incisos III e V, da Constituição Estadual,   D E C R E T A:  Art. 1° A Casa Civil do Estado de Mato Grosso compete exercer as funções de representação política do G",1
"







PORTARIA Nº 005/2024/UCA/METAMAT
 
Designar os servidores para exercer a função de Gestor,
Fiscal Titular e Fiscal Substituto do Contrato nº 002/2024/METAMAT, firmado
entre a COMPANHIA MATOGROSSENDE DE MINERAÇÃO, e a MERIAN  AMIK  DA  SILVA.
 
O
DIRETOR PRESIDENTE DA COMPANHIA MATOGROSSENSE DE MINERAÇÃO - METAMAT, no uso das suas atribuições que lhe
são conferidas e em observância ao que dispõe a Lei nº 13.303/2016, Regulamento
de Licitações e Contratos da METAMAT/2022 e subsidiaria",0
"



PORTARIA NÂ° 107/2012 - SEFAZ
""Altera itens na Lista de PreÃ§os MÃ­nimos divulgada pela Portaria nÂº 028/2012-SEFAZ.""

O SECRETÃ",0
"







PORTARIA Nº
206/2017/GBSES
O SECRETÁRIO DE ESTADO DE SAÚDE, no uso de suas atribuições legais que lhe confere o
artigo 71 da Constituição Estadual, e
CONSIDERANDO
as disposições do Decreto nº 456, de 24 de março de 2016, que dispõe sobre o
Sistema de Transferência de Recursos Financeiros do Fundo Estadual de Saúde aos
Fundos Municipais de Saúde e dá outras providências; e
CONSIDERANDO as
disposições da Portaria Nº 107/2016/GBSES, de 23 de maio de 2016, que define a
reestruturação ",0
"    PORTARIA Nº. 137, DE 17 DE AGOSTO DE 2010 O SECRETÁRIO DE ESTADO DO MEIO AMBIENTE, no uso das atribuições constitucionais previstas no Art.71, inciso IV, da Constituição do Estado de Mato Grosso, e legais, que lhe confere a Lei Complementar nº 214, de 23 de junho de 2005, que cria a Secretaria de Estado do Meio Ambiente (SEMA/MT); e, Considerando o artigo 170 da Lei Complementar nº 04, de 15 de outubro de 1990, combinado com o artigo 69 da Lei Complementar nº 207, de 29 de dezembro de 2004; ",1
"    PORTARIA Nº.578/2010/GAB/SEDUC/MT   Designa a Comissão Julgadora Estadual que atuará na avaliação dos textos no Concurso do Programa Olimpíada de Língua Portuguesa Escrevendo o Futuro.   A SECRETARIA DE ESTADO DE EDUCAÇÃO DE MATO GROSSO – SEDUC/MT, no uso de suas atribuições legais e para fins determinados no item 4.3.2 do Regulamento da Olimpíada de Língua Portuguesa Escrevendo o Futuro, que tem por objetivo a avaliação dos textos recebidos na etapa estadual do concurso de textos, ação essa",1
"        PORTARIA Nº. 107/2009   O Diretor-Presidente do Centro de Processamento de Dados do Estado de Mato Grosso - CEPROMAT, no uso de suas atribuições legais, estabelecidas na Lei nº. 3.359/1973 e Decreto nº. 1.664/1978,  RESOLVE:  Art. 1º NOMEAR o Servidor abaixo relacionado: Célio Freire da Silva – Gerente de Projeto de Software Art. 2º Esta Portaria entra em vigor na data de sua assinatura. CUMPRA-SE  Centro de Processamento de Dados do Estado de Mato Grosso – CEPROMAT, Cuiabá - MT, 07 de o",1
                                                  PORTARIA NÂº 023/2011/GAPL/CADQV/SGP. O SECRETÃ,1
"



Portaria nº 09/GS/2015-SEDEC
O SECRETÁRIO DE ESTADO DE DESENVOLVIMENTO ECONÔMICO/MT no uso de suas atribuições legais, e considerando o disposto na Lei nº. 7.461 de 13 de julho de 2001, alterada pela Lei nº 9.094 de 15 de janeiro de 2009 e no Decreto nº. 3.006 de 05 de maio de 2004.
RESOLVE:
Art.1º Homologar a Avaliação Anual de Desempenho do servidor da Secretaria de Estado de Desenvolvimento Econômico, referente ao ano de 2015, nos termos do Art. 9º do Decreto nº. 3.006 de 05 de maio de 20",0
"    PORTARIA 269.2011 ERRATA DE PUBLICAÇÃO NOMEAÇÃO DOS MEMBROS DE COMISSÃO PERMANENTE DE LICITAÇÃO  O DETRAN-MT  informa, que na publicação do Diário Oficial do Estado de Mato Grosso, do dia 16 de novembro de 2011, na pág. 34, à respeito da nomeação dos membros da Comissão Permanente de Licitação:  onde se lê:” Portaria 165/2011/GP/DETRAN/MT”                   leia-se : “ Portaria 262/2011/GP/DETRAN/MT” Cuiabá, 18 de novembro de 2011 De acordo:     ",1
"    LEI COMPLEMENTAR N°     332,       DE   10   DE       OUTUBRO        DE 2008.  Autor: Poder Executivo Altera dispositivos da Lei Complementar nº 266, de 29 de dezembro de 2006 e dá outras providências.   A ASSEMBLÉIA LEGISLATIVA DO ESTADO DE MATO GROSSO, tendo em vista o que dispõe o Art. 45 da Constituição Estadual, aprova e o Governador do Estado sanciona a seguinte lei complementar:  Art. 1º  O Art. 15 caput e §§ 3º, 4º e 5º da Lei Complementar nº 266, de 29 de dezembro de 2006, passam a ",1
"    PORTARIA N°. 380 DE 30 DE JULHO DE 2013  Outorga a José Sidney Casavecchia o direito de uso dos Recursos Hídricos para captação de água no córrego Água Branca.  O SECRETÁRIO ADJUNTO DE QUALIDADE AMBIENTAL DA SECRETARIA DE ESTADO DO MEIO AMBIENTE (SEMA/MT), no uso das atribuições legais que lhe confere a Portaria nº 110, de 26 de fevereiro de 2013; e,   Considerando os Termos da Lei Estadual nº 6.945 de 05 de novembro de 1997, que dispõe sobre a Política Estadual de Recursos Hídricos;  Consid",1
"                                                   RESOLUÃ‡ÃƒO-CEPS N. 008/2010-CEE/MT  O PRESIDENTE DO CONSELHO ESTADUAL DE EDUCAÃ‡ÃƒO DE MATO GROSSO, no uso de suas atribuiÃ§Ãµes legais, considerando o que dispÃµe a ResoluÃ§Ã£o NÂº169/2006-CEE/MT, e tendo em vista o que consta do Processo NÂº 149524/09-CEE/MT, e do Parecer CEB NÂº 004/2010-CEE/MT, aprovado em 26 de janeiro de 2010,  R E S O L V E: Art. 1Âº - Autorizar a oferta do Curso TÃ©cnico em Meio Ambiente, do Eixo TecnolÃ³gico Ambiente, ",1
"        PORTARIA Nº. 033/2017/SECITEC   O SECRETÁRIO DE ESTADO DE CIÊNCIA, TECNOLOGIA e INOVAÇÃO DE MATO GROSSO no uso de suas atribuições e prerrogativas legais, RESOLVE:   Art. 1º Designar a servidora Claudia Marisa Rosa, para responder, em caráter de substituição, pelo cargo de Superintendente de Desenvolvimento Científico, Tecnológico e Inovação, durante a ausência do país de seu titular, Lúcia Braga Sousa, no período de 29 de maio a 01 de julho de 2017.   Art. 2º Esta Portaria entra ",1
"    PORTARIA Nº 25/2011 O Presidente do Instituto de Terras de Mato Grosso - INTERMAT, no uso das atribuições que lhe conferem os itens I e VI do artigo 631 do Decreto 1.546 de 26 de maio de 1.992, que  aprova o Regulamento deste Órgão:Considerando a faculdade prevista nos artigos 27 e 28, item I e II mais os parágrafos 1º e 2º da Lei  6.383 de 07 de dezembro de 1.976;Considerando os pressupostos contidos nos artigos 5º e 6º da Lei nº 3.922, de 20 de setembro de 1.977;Considerando orientações ma",1
    PORTARIA NÂº  01  /2013.  O SECRETÃ,1
     Portaria Conjunta nÂº. 420/SAD/SEJUSP/2010.  O SECRETÃ,1
"     RESOLUÃ‡ÃƒO- CEPS N. 090/2009-CEE/MT  O PRESIDENTE DO CONSELHO ESTADUAL DE EDUCAÃ‡ÃƒO DE MATO GROSSO, no uso de suas atribuiÃ§Ãµes legais, considerando o que dispÃµe a ResoluÃ§Ã£o NÂº169/2006-CEE/MT, e tendo em vista o que consta do Processo NÂº 801877/08-CEE/MT, e do Parecer CEPS NÂº 110/09-CEE/MT, aprovado em  15 de  setembro de 2009, R E S O L V E: Art. 1Âº - Autorizar a oferta do Curso de TÃ©cnico em Enfermagem, do Eixo TecnolÃ³gico Ambiente, SaÃºde e SeguranÃ§a, da EducaÃ§Ã£o Profissio",1
"        PORTARIA Nº 454/2017/GP/DETRAN-MT Estabelece normas para implantação de Postos de Atendimento no âmbito do Departamento Estadual de Trânsito. O PRESIDENTE DO DEPARTAMENTO ESTADUAL DE TRÂNSITO DE MATO GROSSO no uso de suas atribuições legais, e CONSIDERANDO o disposto no Art. 25 do Código de Trânsito Brasileiro, que faculta a possibilidade de delegação de atividades entre órgãos executivos do Sistema Nacional de Trânsito; CONSIDERANDO a necessidade de expansão em território mato-gro",1
"        PORTARIA Nº091/2024/INDEA-MT A Presidente do Instituto de Defesa Agropecuária do Estado de Mato Grosso-INDEA/MT, no uso de suas atribuições legais que lhe confere o Inciso II do artigo 46 do Capítulo I do Título IV, Decreto nº 623, de 15 de dezembro de 2023, que aprovou o Regimento Interno deste Instituto.   R E S O L V E: Art. 1º. Designar a servidora Pricila Aparecida Toloi Alexandre - matricula nº 134919/002, como responsável pela Unidade Local de Execução de Porto Esperidião, a",1
"    PORTARIA/SETPU/542/2013 O SECRETÁRIO DE ESTADO DE TRANSPORTE E PAVIMENTAÇÃO URBANA, no uso de suas atribuições legais, RESOLVE:  INSTITUIR, considerando o que consta da CI 469/2013-ASLIC, de 26/08/2013, uma Comissão formada pelos servidores adiante nomeados, para julgamento da CARTA CONVITE N° 140/2013, com objetivo de selecionar empresa de engenharia área civil/rodoviária, para execução de serviços de reforma de ponte de madeira, Tipo I na Rodovia: MT-040, Trecho: Entº MT-270 – Comunidade B",1
"



PORTARIA N.� 289/QCG/DGP, DE 08 DE OUTUBRO DE 2014.
Revers�o de Policiais Militares que estavam licenciados para concorrerem ao pleito eleitoral do ano de 2014.
O COMANDANTE-GERAL DA POL�CIA MILITAR DO ESTADO DE MATO GROSSO, no uso das atribui��es que lhe confere o art. 6�, inciso XII da Lei Complementar n.� 386 de 05 de mar�o de 2010.
Considerando o que prescreve os artigos 138 e 139 da Lei Complementar n.� 231 de 15 de Dezembro de 2005 (Estatuto dos Militares do Estado de Mato Grosso).
RE",0
"




PORTARIA Nº 069/2011-GAB/CEE-MT

O PRESIDENTE DO CONSELHO ESTADUAL DE EDUCAÇÃO DE MATO GROSSO, no uso de suas atribuições legais e, tendo em vista a recente recomposição do deste Colegiado,
R E S O L V E:
Art. 1º - Reconstituir a Comissão de que trata a Portaria Nº 086/2009-COORDTEC/CEE/MT, de 13 de julho de 2009, republicada no Diário Oficial do dia 17 de agosto de 2010, página 28, instituída para realizar estudos, pareceres e assessoramento sobre a Gestão do Sistema Estadual de Ensino, c",0
"




PORTARIA N.º 14/2011/GAB-SEC/SETECS/MT


A SECRETÁRIA DE ESTADO DE TRABALHO, EMPREGO, CIDADANIA E ASSISTÊNCIA SOCIAL, no uso de suas atribuições legais conferidas pela Lei Complementar n° 239, de 28 de dezembro de 2005, art. 3°, inciso III e,

Considerando o disposto nos artigos 54, § 1.º e 55, da Lei Complementar n.º 04, de 15 de outubro de 1990;

RESOLVE:

Art. 1º Delegar ao Sr. Rodrigo de Marchi, Assessor Especial I, Nível DGA-2, nomeado através do ato n.º 579/2011, publicado no Diário O",0
     Portaria Conjunta nÂº. 254/SAD/SEJUDH/2011.    O SECRETÃ,1
"        PORTARIA CONJUNTA Nº 530/2015/CGE-COR/SEDUC   O SECRETÁRIO DE ESTADO DE EDUCAÇÃO, no uso de suas atribuições que lhe são conferidas pelo artigo 50, parágrafo único da Lei Complementar nº 207, de 29/12/2004 e o SECRETÁRIO CONTROLADOR-GERAL DO ESTADO, em razão da competência que lhe é conferida pelo artigo 3º da Lei Complementar nº 550, de 27/11/2014 e art. 17 da Lei Complementar nº 566, de 20/05/2015. Considerando a solicitação de prorrogação de prazo, formulada e fundamentada pela r",1
"                                                       ORDEM DE INÍCIO DE SERVIÇO A SECRETARIA DE ESTADO DE TRANSPORTE E PAVIMENTAÇÃO URBANA, através da Superintendência de Manutenção e Operação de Rodovias – SMOR, torna público que, pelo expediente abaixo relacionado, a Ordem de Início de Serviço das Obras, conforme estão discriminadas.    EXPEDIENTES   SERVIÇOS   INSTRUMENTOS CONTRATUAIS   EMPRESAS CONTRATADAS   RODOVIA     OIS Nº40/12 DATA 01/06   Manutenção de Rodovia Não Pavimentada   105/2",1
"    PORTARIA N°. 171, DE 02 DE MAIO DE 2012  Outorga a LUIZ CARLOS RIZO o direito de uso dos Recursos Hídricos para captação de água no Córrego do Morcego.  O SECRETÁRIO DE ESTADO DO MEIO AMBIENTE, no uso das atribuições constitucionais previstas no Art. 71, inciso, IV, da Constituição do Estado de Mato Grosso, e legais, que lhe confere a Lei Complementar 214, de 23 de junho de 2005, que cria a Secretaria de Estado do Meio Ambiente (SEMA/MT); e,  Considerando os Termos da Lei Estadual nº 6.945, ",1
"







RETIFICAÇÃO DA PORTARIA Nº
205/2016/GAB/SECID
O
Secretário de Estado das Cidades, no uso de suas atribuições, publica o
Lotacionograma da Secretaria de Estado das Cidades e correspondente relação de
servidores, considerando;
O
Decreto nº 1.093 de 17 de abril de 2012, que estabelece normas de padronização
para elaboração e publicação dos Lotacionogramas;
O
ofício nº 256/2016/SUB.PATRIMÔNIO da PGE - Processo 351363/2016 que determina o
imediato cumprimento da obrigação estabelecid",0
     PORTARIA /SEDRAF/NÂº 029/2011.                                                                                                                     O SecretÃ¡rio de Estado de Desenvolvimento Rural e Agricultura Familiar e no uso de suas atribuiÃ§Ãµes legais e regimentais; Considerando a necessidade de disciplinar a utilizaÃ§Ã£o dos veÃ­culos Oficiais e auxiliares da SEDRAF; conforme Decreto Estadual nÂº 2.067/2009.     Resolve:   Art. 1Âº - Criar ComissÃ£o TÃ©cnica para anÃ¡lise legal e proc,1
"







PORTARIA Nº 03/2022/GSALARH/SEMA-MT
 
A SECRETÁRIA
ADJUNTA DE LICENCIAMENTO AMBIENTAL E RECURSOS HÍDRICOS DA SECRETARIA DE ESTADO
DO MEIO AMBIENTE, no uso
das atribuições legais que lhe confere o Art. 14, do Decreto n. 516, de 04 de junho
de 2020; e
 
Considerando o
princípio da eficiência da administração pública, que recomenda a adoção de
medidas que assegurem a continuidade da execução dos atos administrativos e
ainda, o princípio da continuidade dos serviços públicos;
 
Consid",0
"







RESOLUÇÃO CIB/MT AD REFERENDUM Nº 09 DE 20 DE FEVEREIRO DE 2024.
Dispõe sobre a distribuição
de teste rápido imunocromatográfico por antígeno COVID-19 Ag para detecção dos
casos do novo coronavírus (COVID-19) para os municípios de Mato Grosso.
A COMISSÃO INTERGESTORES BIPARTITE DO ESTADO DE MATO
GROSSO - CIB/MT, no uso
de suas atribuições legais e considerando:
I - A Lei
n.º 13.979, de 6 de fevereiro de 2020, que dispõe sobre as medidas
para enfrentamento da emergência de saúde púb",0
"     PORTARIA / SINFRA/Nº892 /2.010                RESOLVE :                DESIGNAR, O servidor Engº CLEBER JOSÉ DE OLIVEIRA para Supervisionar e Fiscalizar a Execução dos Serviços de Reforma de Ponte de Madeira, sobre a Vazante n. 6, na Rodovia MT-060, Trecho: Entrº MT-370 – Porto Jofre, com extensão de 20,0m, Região Sul, Município de Poconé – MT, de conformidade com instrumento contratual Nº 403/2010 – ASJU, celebrado com a Firma: MARCIANO DE OLIVEIRA & RIBEIRO FILHO LTDA, efetuando medição d",1
"



GOVERNO DO ESTADO DE MATO GROSSO
           CONSELHO ESTADUAL DO MEIO AMBIENTE - CONSEMA

PORTARIA N� 03, de 06 de agosto de 2014.

O Presidente do Conselho Estadual do Meio Ambiente � CONSEMA, no exerc�cio de sua compet�ncia prevista no art. 3� da Lei Complementar n� 38, de 21 de novembro de 1995, alterada pela Lei Complementar n� 232, de 21 de dezembro de 2005 e no inciso VI do art. 14 do Regimento Interno do Conselho Estadual do Meio Ambiente;

Considerando a decis�o por unanimidade na 7�",0
"    DECRETO N.Âº    2.649,      DE        23          DE           JUNHO             DE 2010.  DispÃµe sobre cessaÃ§Ã£o de DesignaÃ§Ã£o na FunÃ§Ã£o de Assessor PedagÃ³gico/PEB do Estado de Mato Grosso.  O GOVERNADOR DO ESTADO DE MATO GROSSO, no uso das atribuiÃ§Ãµes legais que lhe confere o inciso III do artigo 66, da ConstituiÃ§Ã£o Estadual, nos termos da Lei Complementar nÂº. 50/98, alterada pela Lei Complementar nÂº. 104, de 22 de janeiro de 2002 e pela Lei Complementar nÂº. 206 de 29/12/2004",1
"







A Secretaria de
Estado de Segurança Pública - SESP, torna público, para conhecimento dos
interessados, a RETIFICAÇÃO da Publicação feita no Diário Oficial Do Estado -
D.O.E. n° 28.284, edição de 12 de julho de 2022,
páginas 27-28, nos termos que seguem:
PORTARIA Nº 148/2022/SESP/MT, DE 12 DE JULHO DE 2022.
Designa os servidores para compor a Comissão Permanente de Licitação, a
Equipe de Pregoeiros, Equipe de Apoio e Equipe Técnica de Apoio da Secretaria
de Estado de Segurança Públi",0
"







PORTARIA
N° 153/2018/SAAF-SEFAZ
 
O
SECRETÁRIO ADJUNTO DE ADMINISTRAÇÃO FAZENDÁRIA, no exercício das atribuições
que lhe são conferidas pelo inciso III, do artigo 139, do Regimento Interno da
Secretaria de Estado de Fazenda - SEFAZ, aprovado pelo Decreto n° 1269 de 17 de
novembro de 2017 e no artigo 67 da Lei 8666/93;
 
Resolve:
 
Art.
1º. Designar servidores para atuarem como Fiscais e seus respectivos
substitutos para acompanhar, fiscalizar e avaliar a execução do Termo de
Cont",0
"







PORTARIA Nº. 047/2022/CGE-COR/POLITEC
 
O DIRETOR-GERAL DA PERÍCIA OFICIAL E
IDENTIFICAÇÃO TÉCNICA DO ESTADO DE MATO GROSSO, no uso de suas atribuições
que lhe são conferidas pelo artigo 2º, §1º, inciso III da Lei Complementar nº.
391, de 27/04/2010.
Considerando os termos da Portaria Instauradora nº 024/2020/CGE-COR/POLITEC;
Considerando a solicitação de prorrogação de prazo
formulada e fundamentada pela presidência da Comissão Processante, para o
término dos trabalhos elucidativos",0
    PORTARIA NÂº. 398/GS/SEDUC/MT  A SECRETÃ,1
"







PORTARIA / SECID Número: 249/2016
Entrada em vigor: 21/06/2016
O SECRETÁRIO DE
ESTADO DAS CIDADES, no uso de suas atribuições legais, RESOLVE:
DESIGNAR para acompanhar, fiscalizar e efetuar medições o
engenheiro fiscal abaixo nominado, e, concomitantemente INSTITUIR uma comissão
composta pelos servidores também abaixo relacionados para fins de proceder
recebimento dos serviços referentes a Pavimentação asfáltica com TSD e capa
selante da Av. Joana Alves de Oliveira no município de R",0
"



PORTARIA Nº 118 /SENF-SEFAZ

O SECRETÁRIO ADJUNTO EXECUTIVO DO NÚCLEO FAZENDÁRIO, no uso de suas atribuições legais,

Considerando as atribuições do Secretário Adjunto Executivo do Núcleo Fazendário, dispostas no artigo 42, inciso I do Regimento Interno da Secretaria Executiva do Núcleo Fazendário – SENF, aprovado pelo Decreto nº 300, de 29 de abril de 2011,

Considerando o disposto na Lei nº 7.461 de 13 de Julho de 2001, alterada pela Lei nº. 9.094 de 15 de Janeiro de 2009 e no Decreto nº. ",0
"        PORTARIA Nº 17 O Presidente do Instituto de Terras de Mato Grosso - INTERMAT, no uso das atribuições que lhe conferem os itens I e VI do artigo 5º do Decreto nº 1.546 de 26 de maio de 1.992, que aprova o Regulamento deste Órgão: Considerando a faculdade prevista nos artigos 27 e 28, item I e II mais os parágrafos 1º e 2º da Lei n° 6.383 de 07 de dezembro de 1.976; Considerando os pressupostos contidos nos artigos 5º e 6º da Lei n° 3.922, de 20 de setembro de 1.977; Considerando or",1
"    PORTARIA CONJUNTA N.º 01/2014/SESP/SAD/PJC/MT                                                                     Dispõe sobre a instrução processual dos requerimentos de enquadramento e progressão horizontal dos Escrivães, Investigadores e Delegados de Polícia. O SECRETÁRIO DE ESTADO DE SEGURANÇA PÚBLICA o SECRETÁRIO DE ESTADO DE ADMINISTRAÇÃO e o DELEGADO GERAL DA POLÍCIA JUDICIÁRIA CIVIL, no uso de suas atribuições legais e,  CONSIDERANDO o Título VI Capítulo I da Lei Complementar Estadua",1
"    PORTARIA Nº. 505/2011/GS/SEDUC/MT  O Secretário de Estado de Educação, no uso de suas atribuições legais e considerando o que consta no Processo Administrativo nº. 477172/2011, bem como o Relatório Final da Comissão Processante instituída pela Portaria nº. 332/2011/GS/SEDUC/MT, publicada no Diário Oficial de 16 de junho de 2011 e contínuas, RESOLVE: Art. 1º Determinar o recebimento definitivo da obra pactuada por meio do Termo de Contrato nº. 195/2008, tendo como partes o Estado de Mato Gros",1
"    DECRETO Nº         2.957,         DE   28   DE         OUTUBRO          DE 2010.  Introduz alterações no Regulamento do ICMS e dá outras providências.  O GOVERNADOR DO ESTADO DE MATO GROSSO, no uso das atribuições que lhe são conferidas pelo artigo 66, inciso III, da Constituição Estadual, e  CONSIDERANDO a necessidade de se atualizar o Regulamento do ICMS, aprovado pelo Decreto n° 1.944, de 6 de outubro de 1989, em decorrência da celebração do Ajuste SINIEF 5, de 9 de julho de 2010, publica",1
"



PORTARIA Nº 161/DPF-3/2009

O Comandante-Geral do Corpo de Bombeiros Militar do Estado de Mato Grosso, no uso de suas atribuições legais, em conformidade com o disposto no Artigo 99, § Único, Inciso II e Artigo 101, §§ 1º e 2º todos da Lei Complementar nº 231 de 15 de dezembro de 2005 (Estatuto dos Militares do Estado de Mato Grosso),

RESOLVE:

Art. 1º Conceder ao SD BM ANDERSON ANTUNES, RG nº 000.877 CBM/MT, CPF nº 856.357.401-97, Matricula Funcional nº 1088620024, lotado no Quartel do 2º ",0
"



PORTARIA NÂº 029/2014/SAAF-SEFAZ
Designa Servidor para atuar como Fiscal de Contrato.

A SECRETÃ",0
"    DECRETO Nº       1.313,       DE      05      DE       MAIO             DE 2008.  Dispõe   sobre  a retificação, em parte,  do Decreto nº      2816 de 14/12/1998,publicado no Diário Oficial da mesma data.  O GOVERNADOR DO ESTADO DE  MATO GROSSO,  no   uso    das    atribuições que   lhe  confere  o  inciso  III, do  Artigo 66,  da  Constituição   Estadual,  e considerando  o  disposto  nos  artigos  36 e 83, da  Lei  Complementar  nº 50,  de 1º.10.98 e 10, do Decreto nº 2.709, de 26.11.98.  ",1
"     PORTARIA / SINFRA Nº 860/09 O SECRETARIO DE ESTADO DE INFRA-ESTRUTURA, no uso de suas atribuições legais, RESOLVE:  INSTITUIR, considerando o que consta da CI 521/2009 - SINFRA, de 09/10/2009, uma Comissão formada pelos servidores adiante nomeados, para julgamento da CARTA CONVITE Nº 211/2009, com o objetivo de selecionar empresa de engenharia – área civil, para execução de serviços de reforma e ampliação da Guarita do BOPE – Batalhão de Operações Especiais no Município de Cuiabá-MT.       ",1
"    DECRETO Nº         814,           DE   10   DE       NOVEMBRO         DE 2011.  Cria na Polícia Militar do Estado de Mato Grosso, a MEDALHA MÉRITO ENSINO POLICIAL MILITAR, e dá outras providências.  O GOVERNADOR DO ESTADO DE MATO GROSSO, no uso das atribuições que lhe confere o artigo 66, inciso III, da Constituição Estadual,  DECRETA:  Art. 1º  Fica criada no âmbito da Polícia Militar do Estado de Mato Grosso a MEDALHA MÉRITO DE “ENSINO POLICIAL MILITAR”, que acompanhada do respectivo Diplo",1
"    DECRETO Nº     229,           DE      1º     DE     ABRIL        DE       2011.  Dispõe sobre retificação, em parte do Decreto nº 5.247 de 03 de março de 2005 publicado no Diário Oficial da mesma data, sobre Progressão Vertical de servidor da Secretaria de Estado de Administração na carreira de Desenvolvimento Econômico e Social e dá outras providências.  O GOVERNADOR DO ESTADO DE MATO GROSSO, no uso das atribuições que lhe confere o artigo 66, inciso III, da Constituição Estadual, e  Consid",1
"







PORTARIA Nº 456/BM-1/2021
 
O COMANDANTE GERAL DO CORPO DE BOMBEIROS MILITAR DO
ESTADO DE MATO GROSSO, no uso de suas
atribuições que lhe confere o Art. 8º, inciso IX e XII, da Lei Complementar nº
404 de 30 de junho de 2010, combinado com o Art. 171, § 1º, inciso I, c/c Art.
29, Inciso VII, da Lei Complementar nº 555 de 29 de dezembro de 2014,
 
RESOLVE:
 
Art. 1º
Agregar na Secretaria Adjunta de Proteção e Defesa Civil do Estado de Mato
Grosso, para fins de exercer atividade de na",0
"    PORTARIA N°160 /2011 - SEFAZ Inclui itens na Lista de Preços divulgada pela Portaria nº 146/2011, para efeito de fixação da base de cálculo do ICMS para sujeição passiva por substituição tributária.  O SECRETÁRIO ADJUNTO DA RECEITA PÚBLICA, no uso de suas atribuições legais, nos termos do inciso II do artigo 71 da Constituição Estadual c/c item II do Anexo I da LC 266/06 e com os incisos VIII e XIV do artigo 67 e inciso I do artigo 68 do Decreto 1.656/08 combinado, ainda, com o inciso I do a",1
"







LEI
Nº          10.792,            DE   28   DE          DEZEMBRO           DE
2018.
 
Autor:
Deputado Sebastião Rezende
Institui o Programa Maria da Penha Vai à Escola,
visando sensibilizar o público escolar sobre a violência doméstica e familiar
contra a mulher e divulgar a Lei Maria da Penha.
 
A ASSEMBLEIA LEGISLATIVA DO ESTADO DE MATO GROSSO, tendo em vista o que dispõe o art. 42 da
Constituição Estadual, aprova e o Governador do Estado sanciona a seguinte Lei:
 
Art. 1º 
Fic",0
"     RE-RATIFICAÇÃO: Re-Ratificamos a Portaria nº 017/2011, Publicada no Diário Oficial nº 25696,de 06 de dezembro de 2011, página 43,  acrescentar ao Art. 1º o seguinte nome: KÁTIA CRISTINA TEIXEIRA DA COSTA DINIZ – Téc. Des. Ec. Social – Advogada- e Gerente de Cadastro;         II – Esta Portaria entra em vigor na data de sua publicação.          III. Registrada, publicada, cumpra-se.          Cuiabá-MT, 07 de dezembro de 2011      ",1
"    PORTARIA Nº 307/2011-SEFAZ Divulga coeficientes de atualização monetária, aplicáveis aos débitos fiscais, e dá outras providências.  O SECRETÁRIO ADJUNTO DA RECEITA PÚBLICA, no uso de suas atribuições legais, nos termos do inciso II do artigo 71 da Constituição Estadual c/c item II do Anexo I da Lei Complementar n° 266/2006 e com o inciso VIII e XIV do artigo 117 e inciso I do artigo 118 do Decreto n° 8362/2006 combinado, ainda, com o inciso I do artigo 100 do CTN e,  CONSIDERANDO o disposto",1
